[Name]
Series 1 at /LINE:Center line

[Data]
Y [ m ],Velocity v [ m s^-1 ]
0.00000000e+00, 1.00265491e+00
1.00000001e-01, 1.01434302e+00
2.00000003e-01, 1.03576684e+00
3.00000012e-01, 1.06300938e+00
4.00000006e-01, 1.09367704e+00
5.00000000e-01, 1.12483060e+00
6.00000024e-01, 1.15443563e+00
7.00000048e-01, 1.18172336e+00
8.00000072e-01, 1.20655704e+00
9.00000095e-01, 1.22907650e+00
1.00000012e+00, 1.24950790e+00
1.10000014e+00, 1.26812744e+00
1.20000017e+00, 1.28518677e+00
1.30000019e+00, 1.30083656e+00
1.40000021e+00, 1.31521964e+00
1.50000024e+00, 1.32850456e+00
1.60000026e+00, 1.34078324e+00
1.70000029e+00, 1.35208881e+00
1.80000031e+00, 1.36252189e+00
1.90000033e+00, 1.37219667e+00
2.00000024e+00, 1.38114321e+00
2.10000014e+00, 1.38938951e+00
2.20000005e+00, 1.39699841e+00
2.29999995e+00, 1.40403390e+00
2.39999986e+00, 1.41055393e+00
2.49999976e+00, 1.41660476e+00
2.59999967e+00, 1.42221808e+00
2.69999957e+00, 1.42741823e+00
2.79999948e+00, 1.43222833e+00
2.89999938e+00, 1.43667150e+00
2.99999928e+00, 1.44077277e+00
3.09999919e+00, 1.44455755e+00
3.19999909e+00, 1.44805110e+00
3.29999900e+00, 1.45127749e+00
3.39999890e+00, 1.45425916e+00
3.49999881e+00, 1.45701659e+00
3.59999871e+00, 1.45956802e+00
3.69999862e+00, 1.46193051e+00
3.79999852e+00, 1.46411872e+00
3.89999843e+00, 1.46614671e+00
3.99999833e+00, 1.46802664e+00
4.09999847e+00, 1.46976995e+00
4.19999838e+00, 1.47138715e+00
4.29999828e+00, 1.47288764e+00
4.39999819e+00, 1.47428012e+00
4.49999809e+00, 1.47557259e+00
4.59999800e+00, 1.47677255e+00
4.69999790e+00, 1.47788656e+00
4.79999781e+00, 1.47892118e+00
4.89999771e+00, 1.47988188e+00
4.99999762e+00, 1.48077428e+00
5.09999752e+00, 1.48160326e+00
5.19999743e+00, 1.48237348e+00
5.29999733e+00, 1.48308897e+00
5.39999723e+00, 1.48375392e+00
5.49999714e+00, 1.48437166e+00
5.59999704e+00, 1.48494577e+00
5.69999695e+00, 1.48547935e+00
5.79999685e+00, 1.48597515e+00
5.89999676e+00, 1.48643613e+00
5.99999666e+00, 1.48686445e+00
6.09999657e+00, 1.48726261e+00
6.19999647e+00, 1.48763275e+00
6.29999638e+00, 1.48797679e+00
6.39999628e+00, 1.48829675e+00
6.49999619e+00, 1.48859417e+00
6.59999609e+00, 1.48887062e+00
6.69999599e+00, 1.48912764e+00
6.79999590e+00, 1.48936665e+00
6.89999580e+00, 1.48958886e+00
6.99999571e+00, 1.48979545e+00
7.09999561e+00, 1.48998761e+00
7.19999552e+00, 1.49016619e+00
7.29999542e+00, 1.49033225e+00
7.39999533e+00, 1.49048662e+00
7.49999523e+00, 1.49063039e+00
7.59999514e+00, 1.49076390e+00
7.69999504e+00, 1.49088800e+00
7.79999495e+00, 1.49100351e+00
7.89999485e+00, 1.49111080e+00
7.99999475e+00, 1.49121070e+00
8.09999466e+00, 1.49130356e+00
8.19999504e+00, 1.49138987e+00
8.29999542e+00, 1.49147022e+00
8.39999580e+00, 1.49154496e+00
8.49999619e+00, 1.49161434e+00
8.59999657e+00, 1.49167895e+00
8.69999695e+00, 1.49173903e+00
8.79999733e+00, 1.49179494e+00
8.89999771e+00, 1.49184692e+00
8.99999809e+00, 1.49189532e+00
9.09999847e+00, 1.49194038e+00
9.19999886e+00, 1.49198270e+00
9.29999924e+00, 1.49202192e+00
9.39999962e+00, 1.49205983e+00
9.50000000e+00, 1.49209464e+00
9.60000038e+00, 1.49213445e+00
9.70000076e+00, 1.49216866e+00
9.80000114e+00, 1.49228990e+00
9.90000153e+00, 1.49222827e+00
1.00000019e+01, 1.49218786e+00


