[Name]
Series 1 at Center line

[Data]
Y [ m ],Velocity v [ m s^-1 ]
0.00000000e+00, 1.00060093e+00
1.00000001e-01, 1.00892091e+00
2.00000003e-01, 1.02822638e+00
3.00000012e-01, 1.05554891e+00
4.00000006e-01, 1.08631027e+00
5.00000000e-01, 1.11729252e+00
6.00000024e-01, 1.14679694e+00
7.00000048e-01, 1.17417502e+00
8.00000072e-01, 1.19932663e+00
9.00000095e-01, 1.22237802e+00
1.00000012e+00, 1.24352193e+00
1.10000014e+00, 1.26295090e+00
1.20000017e+00, 1.28083491e+00
1.30000019e+00, 1.29731894e+00
1.40000021e+00, 1.31252599e+00
1.50000024e+00, 1.32656121e+00
1.60000026e+00, 1.33951914e+00
1.70000029e+00, 1.35148168e+00
1.80000031e+00, 1.36252880e+00
1.90000033e+00, 1.37272453e+00
2.00000024e+00, 1.38214314e+00
2.10000014e+00, 1.39083815e+00
2.20000005e+00, 1.39886391e+00
2.29999995e+00, 1.40627933e+00
2.39999986e+00, 1.41313076e+00
2.49999976e+00, 1.41945076e+00
2.59999967e+00, 1.42528796e+00
2.69999957e+00, 1.43068266e+00
2.79999948e+00, 1.43567014e+00
2.89999938e+00, 1.44028330e+00
2.99999928e+00, 1.44455290e+00
3.09999919e+00, 1.44850457e+00
3.19999909e+00, 1.45216155e+00
3.29999900e+00, 1.45554543e+00
3.39999890e+00, 1.45867610e+00
3.49999881e+00, 1.46157241e+00
3.59999871e+00, 1.46425200e+00
3.69999862e+00, 1.46673131e+00
3.79999852e+00, 1.46902561e+00
3.89999843e+00, 1.47114909e+00
3.99999833e+00, 1.47311497e+00
4.09999847e+00, 1.47493529e+00
4.19999838e+00, 1.47662115e+00
4.29999828e+00, 1.47818279e+00
4.39999819e+00, 1.47962964e+00
4.49999809e+00, 1.48097038e+00
4.59999800e+00, 1.48221278e+00
4.69999790e+00, 1.48336458e+00
4.79999781e+00, 1.48443222e+00
4.89999771e+00, 1.48542202e+00
4.99999762e+00, 1.48633981e+00
5.09999752e+00, 1.48719084e+00
5.19999743e+00, 1.48798013e+00
5.29999733e+00, 1.48871207e+00
5.39999723e+00, 1.48939097e+00
5.49999714e+00, 1.49002075e+00
5.59999704e+00, 1.49060488e+00
5.69999695e+00, 1.49114668e+00
5.79999685e+00, 1.49164939e+00
5.89999676e+00, 1.49211574e+00
5.99999666e+00, 1.49254847e+00
6.09999657e+00, 1.49294996e+00
6.19999647e+00, 1.49332249e+00
6.29999638e+00, 1.49366808e+00
6.39999628e+00, 1.49398875e+00
6.49999619e+00, 1.49428642e+00
6.59999609e+00, 1.49456263e+00
6.69999599e+00, 1.49481893e+00
6.79999590e+00, 1.49505663e+00
6.89999580e+00, 1.49527740e+00
6.99999571e+00, 1.49548221e+00
7.09999561e+00, 1.49567223e+00
7.19999552e+00, 1.49584866e+00
7.29999542e+00, 1.49601221e+00
7.39999533e+00, 1.49616420e+00
7.49999523e+00, 1.49630523e+00
7.59999514e+00, 1.49643612e+00
7.69999504e+00, 1.49655747e+00
7.79999495e+00, 1.49667025e+00
7.89999485e+00, 1.49677491e+00
7.99999475e+00, 1.49687207e+00
8.09999466e+00, 1.49696219e+00
8.19999504e+00, 1.49704587e+00
8.29999542e+00, 1.49712348e+00
8.39999580e+00, 1.49719548e+00
8.49999619e+00, 1.49726248e+00
8.59999657e+00, 1.49732447e+00
8.69999695e+00, 1.49738216e+00
8.79999733e+00, 1.49743569e+00
8.89999771e+00, 1.49748540e+00
8.99999809e+00, 1.49753153e+00
9.09999847e+00, 1.49757433e+00
9.19999886e+00, 1.49761415e+00
9.29999924e+00, 1.49765134e+00
9.39999962e+00, 1.49768579e+00
9.50000000e+00, 1.49771869e+00
9.60000038e+00, 1.49774992e+00
9.70000076e+00, 1.49778056e+00
9.80000114e+00, 1.49781251e+00
9.90000153e+00, 1.49787641e+00
1.00000019e+01, 1.49783874e+00


