Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),X_axis (),Y_axis (),Z_axis ()
0,1661422116915,8300.0,140.0,556.0
1,1661422116916,8776.0,-232.0,512.0
2,1661422116916,8496.0,4.0,460.0
3,1661422116916,8452.0,168.0,408.0
4,1661422116916,8620.0,-320.0,556.0
5,1661422116916,8452.0,-164.0,512.0
6,1661422116916,8308.0,48.0,576.0
7,1661422116916,8600.0,-168.0,480.0
8,1661422116916,8560.0,244.0,584.0
9,1661422116916,8440.0,100.0,584.0
10,1661422116916,8624.0,-232.0,480.0
11,1661422116916,8136.0,8.0,552.0
12,1661422116916,8348.0,-240.0,324.0
13,1661422116916,8568.0,-72.0,616.0
14,1661422116916,8208.0,-8.0,456.0
15,1661422116918,8612.0,-24.0,576.0
16,1661422116920,8684.0,-192.0,664.0
17,1661422116923,8412.0,500.0,520.0
18,1661422116923,8204.0,-108.0,468.0
19,1661422116926,8576.0,-52.0,408.0
20,1661422116929,8324.0,120.0,492.0
21,1661422116937,8684.0,-120.0,452.0
22,1661422116937,8480.0,192.0,744.0
23,1661422116937,8568.0,16.0,484.0
24,1661422116937,8636.0,-212.0,336.0
25,1661422116941,8176.0,224.0,576.0
26,1661422116942,8404.0,-112.0,452.0
27,1661422116944,8672.0,-160.0,600.0
28,1661422116946,8216.0,156.0,448.0
29,1661422116948,8244.0,-236.0,556.0
30,1661422116952,8604.0,-156.0,520.0
31,1661422116953,8784.0,180.0,620.0
32,1661422116955,8340.0,-116.0,572.0
33,1661422116957,8664.0,-84.0,448.0
34,1661422116959,8284.0,-4.0,496.0
35,1661422116963,8724.0,40.0,512.0
36,1661422116964,8256.0,-176.0,512.0
37,1661422116966,8628.0,160.0,568.0
38,1661422116968,8684.0,-484.0,512.0
39,1661422116970,8452.0,64.0,620.0
40,1661422116974,8572.0,240.0,500.0
41,1661422116976,8272.0,-256.0,436.0
42,1661422116977,8348.0,256.0,480.0
43,1661422116979,8472.0,-264.0,364.0
44,1661422116982,8504.0,0.0,460.0
45,1661422116984,8456.0,292.0,560.0
46,1661422116986,8500.0,-396.0,568.0
47,1661422116988,8520.0,140.0,516.0
48,1661422116990,8664.0,140.0,584.0
49,1661422116992,8360.0,-248.0,616.0
50,1661422116995,8304.0,208.0,484.0
51,1661422116997,8812.0,48.0,600.0
52,1661422116999,8428.0,-328.0,504.0
53,1661422117001,8400.0,208.0,540.0
54,1661422117003,8544.0,0.0,448.0
55,1661422117005,8316.0,-40.0,360.0
56,1661422117009,8508.0,276.0,548.0
57,1661422117010,8608.0,-216.0,460.0
58,1661422117012,8460.0,272.0,576.0
59,1661422117014,8340.0,-64.0,624.0
60,1661422117016,8592.0,-172.0,456.0
61,1661422117020,8220.0,144.0,660.0
62,1661422117021,8504.0,-196.0,452.0
63,1661422117023,8576.0,208.0,596.0
64,1661422117026,8236.0,176.0,576.0
65,1661422117027,8588.0,-116.0,496.0
66,1661422117030,8524.0,76.0,536.0
67,1661422117032,8292.0,32.0,524.0
68,1661422117034,8588.0,-56.0,612.0
69,1661422117036,8548.0,-256.0,464.0
70,1661422117038,8456.0,208.0,536.0
71,1661422117042,8592.0,-212.0,416.0
72,1661422117042,8360.0,216.0,372.0
73,1661422117045,8196.0,-156.0,528.0
74,1661422117047,8920.0,-92.0,552.0
75,1661422117049,8344.0,152.0,644.0
76,1661422117053,8580.0,-152.0,452.0
77,1661422117054,8416.0,-4.0,532.0
78,1661422117056,8372.0,40.0,560.0
79,1661422117058,8388.0,-284.0,488.0
80,1661422117062,8728.0,-56.0,584.0
81,1661422117062,8472.0,236.0,520.0
82,1661422117066,8452.0,-100.0,616.0
83,1661422117067,8624.0,-40.0,528.0
84,1661422117071,8316.0,-64.0,472.0
85,1661422117071,8304.0,-224.0,280.0
86,1661422117073,8448.0,80.0,708.0
87,1661422117076,8332.0,128.0,604.0
88,1661422117078,8668.0,-128.0,288.0
89,1661422117081,8272.0,88.0,448.0
90,1661422117082,8656.0,228.0,524.0
91,1661422117086,8628.0,-276.0,472.0
92,1661422117086,8376.0,28.0,416.0
93,1661422117089,8272.0,-64.0,532.0
94,1661422117091,8764.0,-276.0,616.0
95,1661422117094,8456.0,364.0,496.0
96,1661422117094,8500.0,-172.0,476.0
97,1661422117098,8512.0,-160.0,548.0
98,1661422117099,8348.0,-68.0,572.0
99,1661422117104,8564.0,8.0,452.0
100,1661422117104,8224.0,-204.0,256.0
101,1661422117106,8380.0,148.0,616.0
102,1661422117109,8584.0,-424.0,568.0
103,1661422117111,8364.0,364.0,536.0
104,1661422117112,8428.0,308.0,496.0
105,1661422117115,8516.0,-232.0,380.0
106,1661422117117,8596.0,112.0,644.0
107,1661422117120,8524.0,-36.0,540.0
108,1661422117122,8408.0,-280.0,440.0
109,1661422117124,8636.0,164.0,596.0
110,1661422117128,8276.0,-220.0,576.0
111,1661422117128,8108.0,24.0,440.0
112,1661422117131,8576.0,-108.0,408.0
113,1661422117133,8724.0,32.0,516.0
114,1661422117135,8312.0,-108.0,472.0
115,1661422117137,8752.0,8.0,592.0
116,1661422117139,8220.0,-292.0,508.0
117,1661422117141,8812.0,40.0,540.0
118,1661422117144,8436.0,224.0,504.0
119,1661422117146,8468.0,-80.0,384.0
120,1661422117148,8352.0,144.0,700.0
121,1661422117152,8728.0,-144.0,612.0
122,1661422117152,8336.0,-96.0,380.0
123,1661422117155,8336.0,104.0,600.0
124,1661422117157,8656.0,-168.0,416.0
125,1661422117159,8356.0,12.0,668.0
126,1661422117161,8624.0,-144.0,524.0
127,1661422117165,8484.0,56.0,392.0
128,1661422117166,8336.0,-96.0,604.0
129,1661422117168,8512.0,-80.0,580.0
130,1661422117170,8508.0,-16.0,596.0
131,1661422117172,8436.0,8.0,400.0
132,1661422117175,8460.0,-112.0,544.0
133,1661422117177,8500.0,-32.0,500.0
134,1661422117178,8544.0,148.0,548.0
135,1661422117181,8324.0,-284.0,404.0
136,1661422117183,8676.0,200.0,584.0
137,1661422117186,8508.0,0.0,704.0
138,1661422117188,8560.0,-64.0,488.0
139,1661422117190,8164.0,24.0,520.0
140,1661422117192,8600.0,-232.0,572.0
141,1661422117194,8708.0,-24.0,568.0
142,1661422117195,8092.0,-72.0,492.0
143,1661422117198,8316.0,-200.0,368.0
144,1661422117201,8624.0,56.0,612.0
145,1661422117202,8356.0,264.0,776.0
146,1661422117204,8048.0,-32.0,456.0
147,1661422117206,8536.0,168.0,512.0
148,1661422117209,8436.0,-52.0,436.0
149,1661422117212,8716.0,-148.0,660.0
150,1661422117214,8460.0,240.0,544.0
151,1661422117216,8448.0,24.0,720.0
152,1661422117219,8624.0,-136.0,516.0
153,1661422117220,8300.0,40.0,560.0
154,1661422117223,8308.0,80.0,460.0
155,1661422117224,8540.0,-352.0,576.0
156,1661422117227,8632.0,128.0,480.0
157,1661422117229,8464.0,164.0,632.0
158,1661422117233,8564.0,-252.0,492.0
159,1661422117234,8552.0,232.0,592.0
160,1661422117236,8364.0,-104.0,564.0
161,1661422117238,8404.0,-76.0,532.0
162,1661422117240,8628.0,292.0,612.0
163,1661422117242,8228.0,-252.0,460.0
164,1661422117246,8780.0,144.0,396.0
165,1661422117247,8696.0,216.0,664.0
166,1661422117249,8352.0,-368.0,420.0
167,1661422117251,8716.0,8.0,744.0
168,1661422117254,8444.0,104.0,596.0
169,1661422117256,8524.0,0.0,548.0
170,1661422117258,8576.0,284.0,504.0
171,1661422117260,8284.0,-128.0,668.0
172,1661422117263,8608.0,-296.0,452.0
173,1661422117264,8572.0,192.0,620.0
174,1661422117267,8616.0,-440.0,448.0
175,1661422117269,8716.0,232.0,360.0
176,1661422117271,8688.0,-108.0,612.0
177,1661422117273,8512.0,256.0,548.0
178,1661422117275,8516.0,-264.0,744.0
179,1661422117277,8344.0,-268.0,576.0
180,1661422117280,8424.0,-152.0,520.0
181,1661422117282,8516.0,-156.0,400.0
182,1661422117284,8548.0,208.0,508.0
183,1661422117285,8644.0,-60.0,472.0
184,1661422117289,8436.0,-116.0,528.0
185,1661422117291,8652.0,336.0,728.0
186,1661422117293,8512.0,-264.0,324.0
187,1661422117294,8388.0,208.0,516.0
188,1661422117297,8800.0,-104.0,544.0
189,1661422117300,8440.0,-112.0,500.0
190,1661422117303,8416.0,212.0,524.0
191,1661422117305,8608.0,8.0,356.0
192,1661422117306,8352.0,-116.0,356.0
193,1661422117309,8760.0,204.0,684.0
194,1661422117311,8396.0,-88.0,636.0
195,1661422117313,8596.0,24.0,476.0
196,1661422117315,8256.0,4.0,452.0
197,1661422117316,8620.0,-96.0,392.0
198,1661422117319,8584.0,-24.0,612.0
199,1661422117322,8816.0,160.0,456.0
200,1661422117323,8544.0,-80.0,444.0
201,1661422117326,8468.0,120.0,644.0
202,1661422117328,8660.0,-276.0,448.0
203,1661422117329,8384.0,-76.0,440.0
204,1661422117332,8476.0,148.0,476.0
205,1661422117335,8888.0,-12.0,584.0
206,1661422117337,8320.0,216.0,692.0
207,1661422117339,8476.0,-88.0,488.0
208,1661422117341,8588.0,-52.0,428.0
209,1661422117343,8432.0,232.0,616.0
210,1661422117345,8244.0,-148.0,328.0
211,1661422117348,8452.0,32.0,484.0
212,1661422117349,8336.0,32.0,736.0
213,1661422117353,8472.0,-248.0,572.0
214,1661422117354,8340.0,144.0,400.0
215,1661422117357,8524.0,-72.0,548.0
216,1661422117359,8556.0,-152.0,716.0
217,1661422117361,8476.0,168.0,488.0
218,1661422117363,8428.0,16.0,480.0
219,1661422117365,8532.0,-188.0,440.0
220,1661422117368,8736.0,40.0,560.0
221,1661422117370,8292.0,-172.0,508.0
222,1661422117372,8636.0,-132.0,488.0
223,1661422117374,8388.0,256.0,568.0
224,1661422117376,8556.0,44.0,452.0
225,1661422117378,8496.0,-124.0,376.0
226,1661422117382,8264.0,136.0,708.0
227,1661422117384,8364.0,-356.0,372.0
228,1661422117385,8508.0,-96.0,436.0
229,1661422117388,8428.0,96.0,668.0
230,1661422117389,8524.0,-156.0,644.0
231,1661422117392,8620.0,-108.0,532.0
232,1661422117394,8352.0,424.0,512.0
233,1661422117395,8516.0,-80.0,552.0
234,1661422117399,8688.0,32.0,504.0
235,1661422117400,8448.0,-76.0,560.0
236,1661422117403,8632.0,-168.0,512.0
237,1661422117406,8424.0,116.0,596.0
238,1661422117407,8740.0,-124.0,536.0
239,1661422117410,8508.0,-280.0,432.0
240,1661422117411,8224.0,284.0,592.0
241,1661422117414,8564.0,-164.0,420.0
242,1661422117416,8428.0,104.0,384.0
243,1661422117419,8520.0,60.0,588.0
244,1661422117420,8584.0,-184.0,448.0
245,1661422117423,8600.0,-172.0,472.0
246,1661422117424,8768.0,296.0,612.0
247,1661422117427,8532.0,-172.0,436.0
248,1661422117429,8624.0,8.0,596.0
249,1661422117431,8256.0,56.0,532.0
250,1661422117435,8764.0,-52.0,584.0
