Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),X_axis (),Y_axis (),Z_axis ()
0,1661422684622,8640.0,472.0,592.0
1,1661422684623,8000.0,-176.0,476.0
2,1661422684623,8724.0,-72.0,364.0
3,1661422684623,8256.0,-104.0,508.0
4,1661422684623,8444.0,-80.0,580.0
5,1661422684623,8460.0,-156.0,464.0
6,1661422684623,8296.0,56.0,644.0
7,1661422684623,8304.0,-164.0,420.0
8,1661422684623,8544.0,148.0,620.0
9,1661422684624,8636.0,380.0,628.0
10,1661422684624,8500.0,-316.0,396.0
11,1661422684625,8464.0,244.0,492.0
12,1661422684627,8896.0,-256.0,468.0
13,1661422684629,8524.0,-288.0,496.0
14,1661422684631,8544.0,468.0,580.0
15,1661422684633,8144.0,-488.0,424.0
16,1661422684635,8492.0,-176.0,560.0
17,1661422684646,8580.0,-40.0,652.0
18,1661422684646,8428.0,-44.0,432.0
19,1661422684646,8640.0,-12.0,708.0
20,1661422684646,8800.0,-36.0,524.0
21,1661422684647,8268.0,-84.0,584.0
22,1661422684650,8580.0,112.0,572.0
23,1661422684652,8712.0,-116.0,440.0
24,1661422684654,8280.0,68.0,332.0
25,1661422684656,8620.0,84.0,692.0
26,1661422684659,8380.0,-424.0,536.0
27,1661422684662,8460.0,-224.0,548.0
28,1661422684663,8652.0,148.0,664.0
29,1661422684665,8508.0,-80.0,592.0
30,1661422684668,8464.0,-44.0,668.0
31,1661422684669,8452.0,-340.0,412.0
32,1661422684672,8556.0,476.0,532.0
33,1661422684674,8424.0,-192.0,580.0
34,1661422684676,8640.0,-24.0,628.0
35,1661422684677,8220.0,-52.0,512.0
36,1661422684679,8556.0,4.0,516.0
37,1661422684682,8800.0,-232.0,468.0
38,1661422684684,8204.0,-96.0,432.0
39,1661422684686,8296.0,-356.0,536.0
40,1661422684688,8508.0,160.0,436.0
41,1661422684692,8220.0,300.0,788.0
42,1661422684693,8548.0,-528.0,500.0
43,1661422684695,8584.0,160.0,624.0
44,1661422684697,8384.0,-44.0,532.0
45,1661422684699,8676.0,-204.0,492.0
46,1661422684701,8456.0,440.0,300.0
47,1661422684705,8184.0,-172.0,660.0
48,1661422684706,8472.0,-220.0,580.0
49,1661422684709,8560.0,204.0,700.0
50,1661422684711,8176.0,-200.0,544.0
51,1661422684713,8632.0,104.0,560.0
52,1661422684714,8736.0,-56.0,420.0
53,1661422684717,8376.0,-172.0,444.0
54,1661422684720,8768.0,272.0,492.0
55,1661422684722,8516.0,-52.0,520.0
56,1661422684725,8336.0,20.0,484.0
57,1661422684726,8612.0,116.0,476.0
58,1661422684728,8568.0,-320.0,340.0
59,1661422684731,8360.0,-348.0,532.0
60,1661422684732,8584.0,392.0,724.0
61,1661422684735,8548.0,128.0,484.0
62,1661422684737,8500.0,-120.0,756.0
63,1661422684740,8692.0,-8.0,512.0
64,1661422684742,8424.0,224.0,488.0
65,1661422684744,8268.0,108.0,380.0
66,1661422684747,8728.0,68.0,408.0
67,1661422684747,8364.0,-276.0,520.0
68,1661422684751,8600.0,220.0,488.0
69,1661422684753,8688.0,-188.0,532.0
70,1661422684755,8472.0,160.0,740.0
71,1661422684757,8388.0,-104.0,648.0
72,1661422684760,8668.0,-184.0,560.0
73,1661422684762,8352.0,220.0,600.0
74,1661422684764,8436.0,-156.0,520.0
75,1661422684766,8608.0,404.0,692.0
76,1661422684768,8584.0,-656.0,580.0
77,1661422684769,8796.0,220.0,484.0
78,1661422684772,8620.0,152.0,336.0
79,1661422684775,8324.0,-188.0,568.0
80,1661422684777,8552.0,-44.0,648.0
81,1661422684778,8616.0,-92.0,560.0
82,1661422684782,8284.0,4.0,560.0
83,1661422684782,8824.0,12.0,800.0
84,1661422684787,8620.0,-188.0,576.0
85,1661422684788,8392.0,276.0,316.0
86,1661422684790,8700.0,144.0,804.0
87,1661422684792,8644.0,-168.0,444.0
88,1661422684795,8520.0,84.0,408.0
89,1661422684797,8296.0,-148.0,412.0
90,1661422684799,8520.0,24.0,400.0
91,1661422684801,8388.0,-464.0,488.0
92,1661422684803,8600.0,660.0,656.0
93,1661422684805,8696.0,-72.0,392.0
94,1661422684809,8464.0,36.0,564.0
95,1661422684810,8836.0,64.0,544.0
96,1661422684812,8380.0,-148.0,392.0
97,1661422684814,8272.0,-140.0,472.0
98,1661422684816,8912.0,-32.0,416.0
99,1661422684819,8364.0,-332.0,396.0
100,1661422684821,8316.0,260.0,452.0
101,1661422684823,8568.0,88.0,524.0
102,1661422684825,8596.0,-80.0,576.0
103,1661422684827,8688.0,168.0,772.0
104,1661422684830,8360.0,-244.0,640.0
105,1661422684831,8124.0,168.0,592.0
106,1661422684834,8352.0,-504.0,340.0
107,1661422684836,8584.0,276.0,468.0
108,1661422684838,8232.0,-88.0,668.0
109,1661422684841,8648.0,-108.0,412.0
110,1661422684843,8636.0,360.0,628.0
111,1661422684844,8388.0,100.0,508.0
112,1661422684847,8876.0,-196.0,516.0
113,1661422684848,8288.0,-164.0,652.0
114,1661422684853,8380.0,-164.0,580.0
115,1661422684854,8452.0,216.0,608.0
116,1661422684856,8480.0,-148.0,568.0
117,1661422684858,8628.0,-196.0,484.0
118,1661422684860,8396.0,196.0,460.0
119,1661422684862,8624.0,72.0,428.0
120,1661422684866,8488.0,36.0,584.0
121,1661422684867,8420.0,-244.0,440.0
122,1661422684869,8532.0,112.0,640.0
123,1661422684873,8456.0,-424.0,368.0
124,1661422684873,8552.0,372.0,736.0
125,1661422684876,8496.0,-308.0,564.0
126,1661422684878,8356.0,96.0,564.0
127,1661422684880,8920.0,124.0,704.0
128,1661422684881,8364.0,-440.0,312.0
129,1661422684884,8172.0,128.0,496.0
130,1661422684887,8636.0,-260.0,484.0
131,1661422684889,8624.0,-68.0,356.0
132,1661422684890,8380.0,-88.0,748.0
133,1661422684895,8604.0,-480.0,616.0
134,1661422684895,8292.0,-36.0,428.0
135,1661422684897,8688.0,216.0,644.0
136,1661422684900,8336.0,-68.0,472.0
137,1661422684901,8320.0,200.0,480.0
138,1661422684904,8616.0,-200.0,448.0
139,1661422684906,8428.0,-160.0,472.0
140,1661422684909,8232.0,356.0,612.0
141,1661422684911,8768.0,-476.0,464.0
142,1661422684912,8488.0,176.0,688.0
143,1661422684915,8488.0,92.0,420.0
144,1661422684917,8848.0,-140.0,656.0
145,1661422684920,8356.0,-48.0,508.0
146,1661422684922,8472.0,-52.0,740.0
147,1661422684923,8512.0,-80.0,584.0
148,1661422684926,8368.0,-188.0,504.0
149,1661422684928,8712.0,-164.0,652.0
150,1661422684930,8400.0,-124.0,520.0
151,1661422684933,8768.0,172.0,552.0
152,1661422684934,8336.0,-340.0,472.0
153,1661422684937,8724.0,-4.0,408.0
154,1661422684938,8188.0,260.0,420.0
155,1661422684943,8728.0,-700.0,624.0
156,1661422684945,8284.0,64.0,672.0
157,1661422684946,8500.0,-36.0,420.0
158,1661422684947,8748.0,-36.0,608.0
159,1661422684951,8380.0,100.0,716.0
160,1661422684952,8540.0,-24.0,408.0
161,1661422684955,8400.0,176.0,540.0
162,1661422684957,8536.0,-492.0,408.0
163,1661422684959,8560.0,68.0,388.0
164,1661422684961,8560.0,-32.0,536.0
165,1661422684963,8448.0,-276.0,512.0
166,1661422684966,8300.0,-120.0,588.0
167,1661422684968,8724.0,416.0,692.0
168,1661422684970,8256.0,-392.0,400.0
169,1661422684972,8320.0,156.0,480.0
170,1661422684974,8588.0,-124.0,448.0
171,1661422684977,8500.0,-124.0,420.0
172,1661422684978,8372.0,192.0,696.0
173,1661422684980,8684.0,-412.0,300.0
174,1661422684983,8504.0,-88.0,456.0
175,1661422684985,8172.0,96.0,488.0
176,1661422684986,8720.0,-260.0,464.0
177,1661422684990,8260.0,-224.0,568.0
178,1661422684992,8528.0,196.0,608.0
179,1661422684994,8572.0,4.0,688.0
180,1661422684996,8272.0,-136.0,640.0
181,1661422684999,8724.0,324.0,564.0
182,1661422685000,8544.0,-232.0,280.0
183,1661422685002,8604.0,320.0,624.0
184,1661422685005,8544.0,-160.0,304.0
185,1661422685006,8668.0,180.0,612.0
186,1661422685008,8208.0,0.0,500.0
187,1661422685011,8780.0,-284.0,480.0
188,1661422685013,8492.0,148.0,596.0
189,1661422685016,8500.0,-148.0,556.0
190,1661422685018,8876.0,28.0,580.0
191,1661422685021,8236.0,16.0,596.0
192,1661422685023,8608.0,-220.0,532.0
193,1661422685025,8400.0,96.0,396.0
194,1661422685027,8444.0,-348.0,468.0
195,1661422685028,8612.0,96.0,364.0
196,1661422685033,8392.0,-8.0,272.0
197,1661422685034,8864.0,152.0,504.0
198,1661422685036,8632.0,-352.0,604.0
199,1661422685038,8716.0,268.0,740.0
200,1661422685040,8344.0,-248.0,440.0
201,1661422685043,8280.0,556.0,660.0
202,1661422685044,8516.0,-124.0,640.0
203,1661422685047,8524.0,-396.0,364.0
204,1661422685048,8352.0,292.0,644.0
205,1661422685051,8440.0,52.0,548.0
206,1661422685053,8552.0,280.0,568.0
207,1661422685056,8144.0,-152.0,176.0
