2 201 
0.000000 0.000000 0.000000
0.000500 0.000056 -0.000042
0.001000 0.000085 -0.000063
0.001500 0.000093 -0.000068
0.002000 0.000084 -0.000059
0.002500 0.000065 -0.000041
0.003000 0.000041 -0.000017
0.003500 0.000019 0.000011
0.004000 0.000003 0.000038
0.004500 -0.000000 0.000061
0.005000 0.000009 0.000076
0.005500 0.000023 0.000081
0.006000 0.000037 0.000072
0.006500 0.000046 0.000045
0.007000 0.000045 -0.000003
0.007500 0.000036 -0.000071
0.008000 0.000019 -0.000144
0.008500 -0.000005 -0.000204
0.009000 -0.000033 -0.000231
0.009500 -0.000064 -0.000195
0.010000 -0.000092 -0.000063
0.010500 -0.000114 0.000133
0.011000 -0.000125 0.000383
0.011500 -0.000124 0.000365
0.012000 -0.000111 0.000031
0.012500 -0.000085 -0.000157
0.013000 -0.000050 -0.000133
0.013500 -0.000005 0.000012
0.014000 0.000044 -0.000072
0.014500 0.000075 -0.000111
0.015000 0.000059 -0.000078
0.015500 0.000017 -0.000021
0.016000 -0.000001 0.000019
0.016500 0.000029 0.000029
0.017000 0.000090 0.000019
0.017500 0.000162 0.000005
0.018000 0.000226 -0.000003
0.018500 0.000261 0.000001
0.019000 0.000253 0.000013
0.019500 0.000209 0.000029
0.020000 0.000145 0.000047
0.020500 0.000077 0.000062
0.021000 0.000021 0.000073
0.021500 -0.000009 0.000076
0.022000 -0.000008 0.000071
0.022500 0.000013 0.000057
0.023000 0.000042 0.000035
0.023500 0.000069 0.000002
0.024000 0.000083 -0.000041
0.024500 0.000075 -0.000091
0.025000 0.000052 -0.000143
0.025500 0.000023 -0.000192
0.026000 -0.000000 -0.000234
0.026500 -0.000008 -0.000264
0.027000 0.000011 -0.000277
0.027500 0.000050 -0.000270
0.028000 0.000082 -0.000243
0.028500 0.000079 -0.000202
0.029000 0.000046 -0.000153
0.029500 0.000006 -0.000102
0.030000 -0.000020 -0.000055
0.030500 -0.000029 -0.000019
0.031000 -0.000029 0.000000
0.031500 -0.000027 -0.000001
0.032000 -0.000029 -0.000018
0.032500 -0.000037 -0.000042
0.033000 -0.000043 -0.000068
0.033500 -0.000038 -0.000087
0.034000 -0.000013 -0.000092
0.034500 0.000038 -0.000081
0.035000 0.000106 -0.000061
0.035500 0.000167 -0.000037
0.036000 0.000198 -0.000015
0.036500 0.000181 -0.000001
0.037000 0.000128 -0.000001
0.037500 0.000058 -0.000013
0.038000 -0.000006 -0.000032
